nepali_name,roman_name,english_context,phonetic,did_you_know
म:म:,Momo,"juicy steamed dumplings stuffed with spiced meat or veggies, served with fiery chutney",MOH-moh,Momo carts in Kathmandu stay open till 2 am on weekends!
सेल रोटी,Sel Roti,"crispy-sweet rice-flour rings, deep-fried for festivals",sel-RO-tee,A single batch needs 24 hours of rice soaking for the perfect crunch.
दाल भात,Dal Bhat,"daily comfort meal of rice, lentil soup, veg & pickle",daal baat,"Nepali saying: ‘Dal Bhat power, 24 hour!’"
गुन्द्रुक,Gundruk,"tangy fermented leafy greens, sun-dried for weeks",goon-drook,Was invented centuries ago to survive Himalayan winters.
थुक्पा,Thukpa,"hearty noodle soup with meat or veg, Tibetan origin",thook-pah,Street vendors ladle it out of giant copper pots at 5 pm sharp.
ढिँडो,Dhido,thick buckwheat porridge eaten with curries,dhin-doh,"Eaten with fingers, rolling it into little balls is an art."
सुकुटी,Sukuti,"smoke-dried meat jerky, re-charred before serving",soo-koo-tee,Traditionally dried above the kitchen hearth for weeks.
आलु तामा,Aloo Tama,potato & fermented bamboo shoot curry,ah-loo tah-mah,Bamboo shoot gives a tangy bite that cuts through rich spices.
चतामरी,Chatamari,rice-flour crepe topped with minced meat or egg,cha-tah-mree,"Called ‘Nepali pizza’ by tourists, but locals say it’s older than Italy!"
योमरी,Yomari,cone-shaped steamed dumpling filled with molasses & sesame,yo-mah-ree,Made only during Yomari Punhi festival to thank the harvest.
खीर,Kheer,slow-cooked rice pudding with cardamom & nuts,kheer,Every wedding serves the first sweet spoon to the bride for luck.
मकै को रोटी,Makai Roti,"corn-flour flatbread, best with lentils or meat",ma-kai ro-tee,Corn is ground the same morning for peak sweetness.
सेकुवा,Sekuwa,charcoal-grilled meat cubes marinated in mountain spices,say-koo-wah,Skewers are rested on river stones for that smoky aroma.
सँधेको,Sadheko,"anything tossed raw with mustard oil, lemon & chili",sahn-deh-ko,Mustard oil must be heated first to remove bitterness.
पोलेको आलु,Poleko Aalu,fire-roasted potatoes smashed with spices,po-leh-ko ah-loo,Villagers bury spuds in ember while herding goats.
साग,Saag,"simple sautéed leafy greens, often nettle or mustard",sahg,"Picked at dawn, older leaves turn bitter by noon."
चोइला,Choila,"spicy grilled meat salad, Newar specialty",choi-lah,"Traditionally buffalo, but now chicken and paneer versions exist."
थकाली खाना सेट,Thakali Set,"balanced platter of rice, dal, veg, pickle & meat",thah-kah-lee,Thakali cooks measure spices on a mountain goat horn!
न्यूँरी खाजा सेट,Newari Khaja Set,"assorted beaten rice, meats & pickles",new-ah-ree khah-jah,"Eaten with fingers, no spoon allowed in traditional feasts."
चिकेन चोइला,Chicken Choila,char-grilled chicken mixed with chili mustard oil,chi-ken choi-lah,Served sizzling on a hot plate to lock in smokiness.
भुसी चोइला,Buff Choila,grilled buffalo meat fiery with timur pepper,bhoo-see choi-lah,Timur pepper gives a tongue numbing citrus kick.
आलु बोडी तामा,Aloo Bodi Tama,"potato, black-eyed pea & bamboo curry",ah-loo boh-dee tah-mah,"Three textures in one bite, soft, creamy, crunchy."
चिकेन सेकुवा,Chicken Sekuwa,yoghurt-marinated chicken grilled over charcoal,chi-ken say-koo-wah,Marinade sits overnight so mountain herbs penetrate deep.
